"staging_key","name","poi_category","include_v1","coordinate_valid","feature_type","feature_type_code","latitude","longitude","datum","mapsheet","source"
"gazetteer:db3ef4ab814c59c39cb6bfd4","Cordova Channel","coast_island","True","True","Channel (3)","1201","48.6027777733613","-123.37","WGS84","92B/11","BC Gazetteer"
"gazetteer:e35966325bed3c63c5e7a161","Cordova Spit","coast_island","True","True","Spit","1608","48.5941666622477","-123.372222222222","WGS84","92B/11","BC Gazetteer"
"gazetteer:a8a61a23d78945535953a0cb","Cork Lake","freshwater","True","True","Lake","951","50.1594444404571","-124.979444444444","WGS84","92K/2","BC Gazetteer"
"gazetteer:bc5961592838f0b394063d9c","Cormorant Channel","coast_island","True","True","Channel (3)","1201","50.6077777739041","-126.891944444444","WGS84","92L/10","BC Gazetteer"
"gazetteer:bd4f6ddc5ef6a4651227707e","Cormorant Channel Marine Park","park_reference","True","True","Provincial Marine Park","594","50.5827777738979","-126.856111111111","WGS84","92L/10","BC Gazetteer"
"gazetteer:0dd57ee636098ded7002113f","Cormorant Island","coast_island","True","True","Island","2300","50.593333329456","-126.928611111111","WGS84","92L/10","BC Gazetteer"
"gazetteer:2f9d08e67b20642023cf6032","Cormorant Point","coast_island","True","True","Point","1604","48.4980555511082","-123.314722222222","WGS84","92B/6","BC Gazetteer"
"gazetteer:41f9bcbbbb2f396f501a7b06","Cormorant Rock","other","False","True","Rock (1)","2024","50.709166662818","-127.413055555556","WGS84","92L/11","BC Gazetteer"
"gazetteer:7489f843c3e9a3f308cc3c60","Corning Point","coast_island","True","True","Point","1604","49.1894444401962","-125.64","WGS84","92F/4","BC Gazetteer"
"gazetteer:a52ede58a5a6b6c2d3ee2a50","Coronation Lake","freshwater","True","True","Lake","951","48.9691666623561","-123.926666666667","WGS84","92B/13","BC Gazetteer"
"gazetteer:e9d2fc99944b23b0d925e54e","Coronation Mountain","terrain","True","True","Mountain","2701","48.9216666623426","-123.915833333333","WGS84","92B/13","BC Gazetteer"
"gazetteer:fbb5774db9471906c6464bed","Corrigan Creek","freshwater","True","True","Creek (1)","602","49.0983333290594","-124.776944444444","WGS84","92F/2","BC Gazetteer"
"gazetteer:9cea4ed8a1b88941b82ef5a2","Corsan Creek","freshwater","True","True","Creek (1)","602","50.9863888851077","-126.489444444444","WGS84","92L/16","BC Gazetteer"
"gazetteer:6eea97c8b5274c66e88ab347","Cortes Bay","coast_island","True","True","Bay","1400","50.0599999959869","-124.920555555556","WGS84","92K/2","BC Gazetteer"
"gazetteer:bc3b3f822dfedca355291ad0","Cortes Bay","populated_administrative","False","True","Community","121","50.0664155869169","-124.9388625","WGS84","92K/2","BC Gazetteer"
"gazetteer:c695d889952eac2447a2af46","Cortes Island","coast_island","True","True","Island","2300","50.1194444404468","-124.920833333333","WGS84","92K/2","BC Gazetteer"
"gazetteer:c0b238a6efb0c0d33cbbbb95","Cosby Point","coast_island","True","True","Point","1604","50.5505555516676","-125.549722222222","WGS84","92K/12","BC Gazetteer"
"gazetteer:bf2766cc5a1f9e5c4492eba3","Cosmos Heights","terrain","True","True","Hills","2706","50.56444444056","-125.033611111111","WGS84","92K/11","BC Gazetteer"
"gazetteer:e21d54c060301099b96ad17d","Cottam Point","coast_island","True","True","Point","1604","49.3147222180088","-124.214444444444","WGS84","92F/8","BC Gazetteer"
"gazetteer:3c68e51338836afb6f48c566","Cottam Reef","coast_island","True","True","Reef","2002","49.3164540617385","-124.184660755918","WGS84","92F/8","BC Gazetteer"
"gazetteer:e05574548a703cac3b785108","Cotter Creek","freshwater","True","True","Creek (1)","602","49.4091666624793","-125.896666666667","WGS84","92F/5","BC Gazetteer"
"gazetteer:0cb9662a5a3e953d1ac778f6","Cotter, Mount","terrain","True","True","Mount","2743","49.4049999958116","-125.793333333333","WGS84","92F/5","BC Gazetteer"
"gazetteer:0d963dde10687858fb776d8d","Cottingham Lake","freshwater","True","True","Lake","951","49.5213888847323","-125.353611111111","WGS84","92F/11","BC Gazetteer"
"gazetteer:961f98b01687443018570675","Cottle Creek","freshwater","True","True","Creek (1)","602","49.2099999957575","-123.953611111111","WGS84","92G/4","BC Gazetteer"
"gazetteer:f120aadf07f5edf031c01adb","Cottle Hill","terrain","True","True","Hill","2705","49.2219444402052","-124.004166666667","WGS84","92F/1","BC Gazetteer"
"gazetteer:4d60d55ccc5044edb9c92f96","Cottle Lake","freshwater","True","True","Lake","951","49.1752777735255","-124.156944444444","WGS84","92F/1","BC Gazetteer"
"gazetteer:549b51e4c7de7c56b4215ff1","Cottonwood Creek","freshwater","True","True","Creek (1)","602","48.8747222178847","-124.236666666667","WGS84","92C/16","BC Gazetteer"
"gazetteer:15e087a2d38e1cc2d2e1d210","Cougar Creek","freshwater","True","True","Creek (1)","602","49.7236111070092","-126.455833333333","WGS84","92E/9","BC Gazetteer"
"gazetteer:47125be7b376cacd5449c08e","Cougar Inlet","coast_island","True","True","Inlet (3)","1411","51.0761111073515","-127.488611111111","WGS84","92M/3","BC Gazetteer"
"gazetteer:69998c4f02943ed831215c94","Cougar Lake","freshwater","True","True","Lake","951","49.5191666625095","-125.238611111111","WGS84","92F/11","BC Gazetteer"
"gazetteer:b21a7682413bd930f82bb7bc","Cougar Smith Creek","freshwater","True","True","Creek (1)","602","49.4986111069483","-124.843611111111","WGS84","92F/7","BC Gazetteer"
"gazetteer:bb2d380adf2a258746e994d1","Coulter Bay","coast_island","True","True","Bay","1400","50.1330555515615","-125.044166666667","WGS84","92K/3","BC Gazetteer"
"gazetteer:3eb1a40b1ec8ccf9ed562e79","Coulter Island","coast_island","True","True","Island","2300","50.1358333293399","-125.046111111111","WGS84","92K/3","BC Gazetteer"
"gazetteer:8ec29d576c3058cb6d103778","Council Creek","freshwater","True","True","Creek (1)","602","48.5099999955562","-123.695555555556","WGS84","92B/12","BC Gazetteer"
"gazetteer:01359dd04c91d15435daecc5","Council Lake","freshwater","True","True","Lake","951","48.5288888844507","-123.671388888889","WGS84","92B/12","BC Gazetteer"
"gazetteer:c58158dc5168c47b546653d5","Courtenay","populated_administrative","False","True","City","1","49.6894444403333","-124.995833333333","WGS84","92F/10","BC Gazetteer"
"gazetteer:19dc7cb50204bd7f52b86e39","Courtenay River","freshwater","True","True","River","600","49.6802777736642","-124.975277777778","WGS84","92F/10","BC Gazetteer"
"gazetteer:dddfb49e30829a4245005e28","Cous 3","reserve_military","False","True","Indian Reserve-Réserve indienne","512","49.1831128205996","-124.83467699733","WGS84","92F/2","BC Gazetteer"
"gazetteer:81bd4c4992e637b2f3c2d526","Cous Creek","freshwater","True","True","Creek (1)","602","49.1836111068612","-124.829444444444","WGS84","92F/2","BC Gazetteer"
"gazetteer:fcf586657bfcf51138f26666","Cove Islet","coast_island","True","True","Islet","2307","50.6963888850371","-126.678333333333","WGS84","92L/10","BC Gazetteer"
"gazetteer:0c6db6cfca3a6bc32d574bc2","Cover Creek","freshwater","True","True","Creek (1)","602","49.8713888848263","-126.743611111111","WGS84","92E/15","BC Gazetteer"
"gazetteer:f38d6a43935bb6f74ff551cc","Cow Bay","coast_island","True","True","Bay","1400","49.2649999957728","-126.156111111111","WGS84","92E/8","BC Gazetteer"
"gazetteer:98cbb452571dfedd17928d99","Cow Creek","freshwater","True","True","Creek (1)","602","49.2747222179977","-126.168888888889","WGS84","92E/8","BC Gazetteer"
"gazetteer:3452d242d1ec87fbae6cd52c","Cowichan 1","reserve_military","False","True","Indian Reserve-Réserve indienne","512","48.7497936576861","-123.501291601227","WGS84","92B/12","BC Gazetteer"
"gazetteer:1125b6ea3ecc669b051fdcc1","Cowichan 9","reserve_military","False","True","Indian Reserve-Réserve indienne","512","48.7497919734969","-123.65129618945","WGS84","92B/13","BC Gazetteer"
"gazetteer:414982dcfcc54389a411abc5","Cowichan Bay","populated_administrative","False","True","Community","121","48.7373599965578","-123.61929","WGS84","92B/12","BC Gazetteer"
"gazetteer:f4bc1268389922ae89680f79","Cowichan Bay","coast_island","True","True","Bay","1400","48.7461111067365","-123.600555555556","WGS84","92B/12","BC Gazetteer"
"gazetteer:a78177753e437f4222592b58","Cowichan Head","other","False","True","Head (1)","1601","48.5580555511259","-123.361944444444","WGS84","92B/11","BC Gazetteer"
"gazetteer:bc4dfc176b810fdb0d6166cb","Cowichan Lake","freshwater","True","True","Lake","951","48.8749999956625","-124.26","WGS84","92C/16","BC Gazetteer"
"gazetteer:616dc48ee70dab1eb0acde82","Cowichan Lake","reserve_military","False","True","Indian Reserve-Réserve indienne","512","48.8331207729742","-124.067977723858","WGS84","92C/16","BC Gazetteer"
"gazetteer:dd6734dd0adb29c8dedfa901","Cowichan Lake Land District","populated_administrative","False","True","Land District","482","48.8497870022603","-124.10964609416","WGS84","92C/16","BC Gazetteer"
"gazetteer:a68321f756505e3f69ef6814","Cowichan Land District","populated_administrative","False","True","Land District","482","48.86646263948","-123.317955634795","WGS84","92B/14","BC Gazetteer"
"gazetteer:b282b0421abfaa06580ffc52","Cowichan River","freshwater","True","True","River","600","48.7533333289608","-123.636666666667","WGS84","92B/13","BC Gazetteer"
